FRONT_RADIATOR=1
TEMP_MIN=15
TEMP_MAX=50
REAL_MIN_DUTYCYCLE=0.70
REAL_MAX_DUTYCYCLE=1
DEACTIVATION_RATIO=1.25
cooldown=64

TIMESTEP_MAIN=5
TIMESTEP_UPDATE=15

SLOPE_INTERVAL=5
SLOPE_LENGTH=30
SLOPE_THRESHOLD=1
n_samples_fine=6
slope_samples_per_min=12
slope_max_per_sample=0.08

AVERAGING_INTERVAL=15
AVERAGING_LENGTH=900
n_samples_course=60

secondsElapsed,mem,status,cooldown,tempRadiator,tempAmbient,tempSlope,tempRatio,tempStop,tempRadAverage,tempAmbAverage,dutyCyclesa
2963, 263, 4, 173, 26.12, 21.25, -0.04, 0.17, 26.67, 27.33, 21.33, 192, u.s.s.sa
2981, 263, 4, 174, 26.12, 21.25, 0, 0.17, 26.67, 27.28, 21.33, 192, u.s.s.sa
2998, 263, 4, 175, 26.06, 21.25, 0, 0.17, 26.66, 27.24, 21.33, 192, u.s.s.sa
3015, 263, 4, 176, 26, 21.25, -0.03, 0.17, 26.66, 27.20, 21.33, 192, u.s.s.sa
3032, 263, 4, 177, 26, 21.25, -0.02, 0.17, 26.66, 27.16, 21.33, 192, u.s.s.sa
3050, 263, 4, 178, 25.94, 21.25, 0, 0.16, 26.65, 27.12, 21.32, 191, u.s.s.sa
3067, 263, 4, 179, 25.94, 21.25, 0, 0.16, 26.65, 27.07, 21.32, 191, u.s.s.sa
3084, 263, 4, 180, 25.87, 21.25, -0.03, 0.16, 26.65, 27.03, 21.32, 191, u.s.s.sa
3101, 263, 4, 181, 25.87, 21.25, -0.02, 0.16, 26.65, 26.99, 21.32, 191, u.s.s.sa
3119, 263, 4, 182, 25.81, 21.31, 0, 0.16, 26.64, 26.95, 21.31, 191, u.s.s.sa
3136, 263, 4, 183, 25.75, 21.31, -0.02, 0.15, 26.64, 26.91, 21.31, 191, u.s.s.sa
3153, 263, 4, 184, 25.75, 21.25, -0.03, 0.16, 26.64, 26.87, 21.31, 191, u.s.s.sa
3170, 263, 4, 185, 25.69, 21.25, 0, 0.15, 26.63, 26.82, 21.31, 191, u.s.s.sa
3188, 263, 4, 186, 25.69, 21.25, 0, 0.15, 26.63, 26.79, 21.30, 191, u.s.s.sa
3205, 263, 4, 187, 25.62, 21.25, -0.02, 0.15, 26.63, 26.74, 21.30, 191, u.s.s.sa
3222, 263, 4, 188, 25.62, 21.25, -0.03, 0.15, 26.62, 26.70, 21.30, 191, u.s.s.sa
3239, 263, 4, 189, 25.56, 21.19, 0, 0.15, 26.62, 26.66, 21.30, 191, u.s.s.sa
3257, 263, 4, 190, 25.56, 21.19, 0, 0.15, 26.62, 26.63, 21.30, 191, u.s.s.sa
3274, 263, 6, 191, 25.50, 21.19, 0, 0.15, 26.62, 26.59, 21.29, 190, u.s.s.sa
3291, 263, 6, 192, 25.50, 21.19, 0, 0.15, 26.61, 26.55, 21.29, 190, u.s.s.sa
3308, 263, 6, 193, 25.44, 21.19, -0.04, 0.15, 26.61, 26.51, 21.29, 190, u.s.s.sa
3326, 263, 6, 194, 25.44, 21.19, 0, 0.15, 26.61, 26.48, 21.29, 190, u.s.s.sa
3343, 263, 6, 195, 25.37, 21.19, 0, 0.15, 26.60, 26.44, 21.28, 190, u.s.s.sa
3360, 263, 6, 196, 25.37, 21.19, 0, 0.15, 26.60, 26.40, 21.28, 190, u.s.s.sa
3378, 263, 6, 197, 25.31, 21.19, -0.04, 0.14, 26.60, 26.36, 21.28, 190, u.s.s.sa
3395, 263, 6, 198, 25.31, 21.19, 0, 0.14, 26.60, 26.33, 21.28, 190, u.s.s.sa
3412, 263, 6, 199, 25.25, 21.19, 0, 0.14, 26.59, 26.29, 21.27, 190, u.s.s.sa
3429, 263, 6, 200, 25.25, 21.19, 0, 0.14, 26.59, 26.25, 21.27, 190, u.s.s.sa
3447, 263, 6, 201, 25.19, 21.19, -0.04, 0.14, 26.59, 26.22, 21.27, 190, u.s.s.sa
3464, 263, 6, 202, 25.19, 21.19, 0, 0.14, 26.58, 26.18, 21.27, 190, u.s.s.sa
3481, 263, 6, 203, 25.12, 21.19, 0, 0.14, 26.58, 26.14, 21.27, 189, u.s.s.sa
3498, 263, 6, 204, 25.12, 21.19, 0, 0.14, 26.58, 26.11, 21.26, 189, u.s.s.sa
3516, 263, 6, 205, 25.06, 21.25, -0.03, 0.13, 26.58, 26.07, 21.26, 189, u.s.s.sa
3533, 263, 6, 206, 25.06, 21.25, -0.02, 0.13, 26.58, 26.04, 21.26, 189, u.s.s.sa
3550, 263, 6, 207, 25, 21.19, 0, 0.13, 26.58, 26.00, 21.26, 189, u.s.s.sa
3567, 263, 6, 208, 25, 21.19, 0, 0.13, 26.57, 25.97, 21.26, 189, u.s.s.sa
3585, 263, 6, 209, 24.94, 21.19, -0.02, 0.13, 26.57, 25.93, 21.26, 189, u.s.s.sa
3602, 263, 6, 210, 24.94, 21.19, -0.03, 0.13, 26.57, 25.90, 21.25, 189, u.s.s.sa
3619, 263, 6, 211, 24.94, 21.19, 0, 0.13, 26.56, 25.86, 21.25, 189, u.s.s.sa
3636, 263, 6, 212, 24.87, 21.19, 0, 0.13, 26.56, 25.83, 21.25, 189, u.s.s.sa
3654, 263, 6, 213, 24.87, 21.25, 0, 0.13, 26.56, 25.79, 21.25, 189, u.s.s.sa
3671, 263, 6, 214, 24.81, 21.19, -0.04, 0.13, 26.56, 25.76, 21.25, 189, u.s.s.sa
3688, 263, 6, 215, 24.81, 21.19, 0, 0.13, 26.56, 25.72, 21.25, 189, u.s.s.sa
3705, 263, 6, 216, 24.75, 21.25, 0, 0.12, 26.56, 25.69, 21.25, 188, u.s.s.sa
3723, 263, 6, 217, 24.75, 21.25, 0, 0.12, 26.56, 25.66, 21.25, 188, u.s.s.sa
3740, 263, 6, 218, 24.75, 21.25, 0, 0.12, 26.56, 25.62, 21.25, 188, u.s.s.sa
3757, 263, 6, 219, 24.69, 21.25, 0, 0.12, 26.56, 25.59, 21.25, 188, u.s.s.sa
3774, 263, 6, 220, 24.69, 21.31, 0, 0.12, 26.56, 25.56, 21.25, 188, u.s.s.sa
3792, 263, 6, 221, 24.62, 21.25, -0.02, 0.12, 26.56, 25.53, 21.25, 188, u.s.s.sa
3809, 263, 6, 222, 24.62, 21.25, -0.03, 0.12, 26.56, 25.50, 21.25, 188, u.s.s.sa
3826, 263, 6, 223, 24.56, 21.25, 0, 0.12, 26.56, 25.46, 21.25, 188, u.s.s.sa
3843, 263, 6, 224, 24.56, 21.25, 0, 0.12, 26.56, 25.43, 21.25, 188, u.s.s.sa
3861, 263, 6, 225, 24.56, 21.19, 0, 0.12, 26.56, 25.40, 21.25, 188, u.s.s.sa
3878, 263, 6, 226, 24.50, 21.19, -0.04, 0.11, 26.56, 25.37, 21.25, 188, u.s.s.sa
